filename,label,primary_color
Image_1.jpg,SOUTHERN DOGFACE,Gray
Image_2.jpg,ADONIS,Pink
Image_3.jpg,BROWN SIPROETA,Black
Image_4.jpg,MONARCH,Black
Image_5.jpg,GREEN CELLED CATTLEHEART,Black
Image_6.jpg,CAIRNS BIRDWING,Black
Image_7.jpg,GREEN CELLED CATTLEHEART,Black
Image_8.jpg,EASTERN DAPPLE WHITE,White
Image_9.jpg,BROWN SIPROETA,Black
Image_10.jpg,RED POSTMAN,Black
Image_11.jpg,MANGROVE SKIPPER,Black
Image_12.jpg,BLACK HAIRSTREAK,Brown
Image_13.jpg,CABBAGE WHITE,White
Image_14.jpg,RED ADMIRAL,Black
Image_15.jpg,PAINTED LADY,Orange
Image_16.jpg,MANGROVE SKIPPER,Black
Image_17.jpg,PAPER KITE,Black
Image_18.jpg,SOOTYWING,Black
Image_19.jpg,PINE WHITE,White
Image_20.jpg,PEACOCK,Black
Image_21.jpg,CHECQUERED SKIPPER,Black
Image_22.jpg,JULIA,Red
Image_23.jpg,COMMON WOOD-NYMPH,Black
Image_24.jpg,BLUE MORPHO,Black
Image_25.jpg,CLOUDED SULPHUR,Brown
Image_26.jpg,STRAITED QUEEN,Black
Image_27.jpg,ORANGE OAKLEAF,Pink
Image_28.jpg,PURPLISH COPPER,Brown
Image_29.jpg,CLOUDED SULPHUR,Black
Image_30.jpg,ATALA,Black
Image_31.jpg,IPHICLUS SISTER,White
Image_32.jpg,CAIRNS BIRDWING,Black
Image_33.jpg,CAIRNS BIRDWING,Black
Image_34.jpg,BLACK HAIRSTREAK,Black
Image_35.jpg,DANAID EGGFLY,Brown
Image_36.jpg,PAINTED LADY,Brown
Image_37.jpg,LARGE MARBLE,White
Image_38.jpg,DANAID EGGFLY,Black
Image_39.jpg,PIPEVINE SWALLOW,Black
Image_40.jpg,BLUE SPOTTED CROW,Black
Image_41.jpg,LARGE MARBLE,White
Image_42.jpg,EASTERN DAPPLE WHITE,White
Image_43.jpg,LARGE MARBLE,White
Image_44.jpg,PAINTED LADY,Brown
Image_45.jpg,RED CRACKER,Black
Image_46.jpg,QUESTION MARK,Orange
Image_47.jpg,CRIMSON PATCH,Black
Image_48.jpg,BANDED PEACOCK,Black
Image_49.jpg,CHECQUERED SKIPPER,Black
Image_50.jpg,DANAID EGGFLY,Black
Image_51.jpg,RED POSTMAN,Black
Image_52.jpg,COMMON WOOD-NYMPH,Black
Image_53.jpg,SCARCE SWALLOW,White
Image_54.jpg,DANAID EGGFLY,Brown
